Unity time	tracker time	eye ray x	eye ray y	 eye ray z	eye screen x	eye screen z	status 	 objX 	objY 	Target Size	Button	Spawn Angle	Kill Angle	Eye Moved
3.93	0	-0.5670067	0.5670067	0.5975004	-145.7916	788.7098	0	0	0	1	0	0	0	False
3.94	0	-0.6229315	0.6853862	0.377097	-145.7916	788.7098	1	1639.866	378.5601	1	0	0	0	False
3.95	0	-0.6229315	0.6853862	0.377097	-145.7916	788.7098	1	1639.866	378.5601	1	0	0	0	False
3.96	0	-0.6270267	0.6918191	0.3580836	-145.7916	788.7098	1	1690.916	377.4326	1	0	0	0	False
3.97	0	-0.6290407	0.6992835	0.3395738	-145.7916	788.7098	1	1740.15	376.6764	1	0	0	0	False
3.98	0	-0.6290407	0.6992835	0.3395738	-145.7916	788.7098	1	1740.15	376.6764	1	0	0	0	False
3.99	0	-0.6297963	0.7068796	0.3219903	-145.7916	788.7098	1	1787.763	376.2541	1	0	0	0	False
4	0	-0.6298168	0.7142183	0.3053245	-145.7916	788.7098	1	1834.922	376.2945	1	0	0	0	False
4.01	0	-0.6289062	0.7211673	0.2905076	-145.7916	788.7098	1	1877.396	376.6589	1	0	0	0	False
4.02	0	-0.6289062	0.7211673	0.2905076	-145.7916	788.7098	1	1877.396	376.6589	1	0	0	0	False
4.03	0	-0.6284792	0.7269459	0.2767013	-145.7916	788.7098	1	1918.129	376.132	1	0	0	0	False
4.04	0	-0.6281607	0.732118	0.2634718	-145.7916	788.7098	1	1957.82	375.001	1	0	0	0	False
4.05	0	-0.6277522	0.73649	0.2520109	-145.7917	788.7098	1	1991.836	373.4315	1	0	0	0	False
4.06	0	-0.6277522	0.73649	0.2520109	-145.7917	788.7098	1	1991.836	373.4315	1	0	0	0	False
4.07	0	-0.6274068	0.7401154	0.2420533	-145.7916	788.7098	1	2021.017	371.4663	1	0	0	0	False
4.08	0	-0.6277241	0.7426944	0.2331682	-145.7916	788.7098	1	2047.677	368.7557	1	0	0	0	False
4.09	0	-0.6290525	0.7437125	0.2262404	-145.7916	788.7098	1	2069.653	365.3473	1	0	0	0	False
4.1	0	-0.6290525	0.7437125	0.2262404	-145.7916	788.7098	1	2069.653	365.3473	1	0	0	0	False
4.11	0	-0.6312957	0.7437078	0.2199191	-145.7917	788.7098	1	2090.546	360.8918	1	0	0	0	False
4.12	0	-0.6338758	0.7433398	0.2136525	-145.7916	788.7098	1	2114.162	356.6602	1	0	0	0	False
4.13	0	-0.6370376	0.7424051	0.2074074	-145.7916	788.7098	1	2140.651	352.239	1	0	0	0	False
4.14	0	-0.6370376	0.7424051	0.2074074	-145.7916	788.7098	1	2140.651	352.239	1	0	0	0	False
4.15	0	-0.6403812	0.7411119	0.2016557	-145.7917	788.7098	1	2168.955	348.4286	1	0	0	0	False
4.16	0	-0.6433715	0.7400333	0.1960204	-145.7916	788.7098	1	2198.656	345.3134	1	0	0	0	False
4.17	0	-0.6458685	0.7391462	0.1910938	-145.7916	788.7098	1	2228.17	343.487	1	0	0	0	False
4.18	0	-0.6458685	0.7391462	0.1910938	-145.7916	788.7098	1	2228.17	343.487	1	0	0	0	False
4.19	0	-0.6482118	0.738523	0.1854867	-145.7916	788.7098	1	2260.082	341.2414	1	0	0	0	False
4.2	0	-0.6498531	0.738527	0.1796356	-145.7916	788.7098	1	2294.019	339.8636	1	0	0	0	False
4.21	0	-0.6505467	0.739345	0.1736604	-145.7916	788.7098	1	2329.585	339.7986	1	0	0	0	False
4.22	0	-0.6505467	0.739345	0.1736604	-145.7916	788.7098	1	2329.585	339.7986	1	0	0	0	False
4.23	0	-0.6509528	0.7403719	0.1676605	-145.7916	788.7098	1	2364.96	339.7108	1	0	0	0	False
4.24	0	-0.650798	0.7417342	0.1621492	-145.7917	788.7098	1	2399.244	340.6247	1	0	0	0	False
4.25	0	-0.6496579	0.743767	0.1573386	-145.7916	788.7098	1	2428.617	342.6409	1	0	0	0	False
4.26	0	-0.6496579	0.743767	0.1573386	-145.7916	788.7098	1	2428.617	342.6409	1	0	0	0	False
4.27	0	-0.6483156	0.7457457	0.1534611	-145.7916	788.7098	1	2450.948	344.4644	1	0	0	0	False
